"";"Q1";"Q3";"Q3_graph";"Q5";"Q5_graph";"Q8_graph";"Q8";"Q10";"Q12";"Q14";"Q16";"Q18";"Q20";"court";"imam";"elders";"killed";"wounded";"damaged";"displaced";"edu";"income";"female";"age";"unemployed";"urban_com";"com_exposure";"russ_pop";"lmaltitude";"ldistance_Grozny";"lcom_size";"rayon";"location"
"272";2;2;2;2;2;2;2;2;2;2;2;2;2;0;1;0;1;0;2;1;6;3;0;27;0;1;1;9;4,86753445045558;0;12,5686650467329;"groznenskiy";"Grozny"
"273";2;2;2;2;2;4;4;2;2;1;1;4;2;0;0;0;1;1;2;1;6;NA;0;27;0;1;1;9;4,86753445045558;0;12,5686650467329;"groznenskiy";"Grozny"
"274";2;2;2;3;3;1;1;3;2;1;2;1;1;0;1;1;1;1;2;1;4;4;1;55;0;1;1;9;4,86753445045558;0;12,5686650467329;"groznenskiy";"Grozny"
"275";2;3;3;3;3;2;2;3;3;3;1;2;2;0;0;1;1;0;2;0;3;1;0;33;0;1;1;9;4,86753445045558;0;12,5686650467329;"groznenskiy";"Grozny"
"276";1;5;4;4;4;4;4;4;2;4;1;2;3;0;0;0;1;1;2;0;4;2;1;27;0;1;1;9;4,86753445045558;0;12,5686650467329;"groznenskiy";"Grozny"
"277";2;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;1;1;0;0;NA;4;0;43;0;0;1;0;5,34710753071747;2,94443897916644;9,37704054786718;"groznenskiy";"Aklhan-Kala"
"278";2;1;1;1;1;2;2;4;1;1;1;1;2;0;0;0;1;1;2;1;NA;5;1;35;0;0;1;0;5,34710753071747;2,94443897916644;9,37704054786718;"groznenskiy";"Aklhan-Kala"
"279";1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;1;1;1;0;NA;5;0;25;0;0;1;0;5,34710753071747;2,94443897916644;9,37704054786718;"groznenskiy";"Aklhan-Kala"
"280";1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;1;0;2;1;NA;5;1;24;0;0;1;0;5,34710753071747;2,94443897916644;9,37704054786718;"groznenskiy";"Aklhan-Kala"
"281";3;4;4;1;1;2;2;4;1;1;1;1;3;0;0;0;1;1;1;0;NA;3;0;30;0;0;1;0;5,34710753071747;2,94443897916644;9,37704054786718;"groznenskiy";"Aklhan-Kala"
"282";3;5;4;3;3;1;1;2;2;1;1;2;2;0;1;0;1;0;2;1;NA;3;0;46;0;0;1;0;5,34710753071747;2,94443897916644;9,37704054786718;"groznenskiy";"Aklhan-Kala"
"283";2;1;1;2;2;4;4;1;2;1;4;2;2;0;0;0;1;1;2;1;3;3;1;38;0;0;0;0;5,32300997913841;3,85014760171006;8,81120518756289;"urus-martan";"martan-chu"
"284";2;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;1;1;1;0;4;3;0;29;0;0;0;0;5,32300997913841;3,85014760171006;8,81120518756289;"urus-martan";"martan-chu"
"285";2;1;1;1;1;2;2;2;1;1;2;NA;2;1;0;0;1;1;2;0;6;3;1;25;0;0;0;0;5,32300997913841;3,85014760171006;8,81120518756289;"urus-martan";"martan-chu"
"286";2;1;1;3;3;1;1;1;1;1;2;1;1;0;0;0;1;1;2;0;3;4;1;28;0;0;0;0;5,32300997913841;3,85014760171006;8,81120518756289;"urus-martan";"martan-chu"
"287";4;1;1;3;3;3;3;1;1;1;1;1;3;0;0;0;1;0;2;0;6;3;1;18;0;0;0;0;5,32300997913841;3,85014760171006;8,81120518756289;"urus-martan";"martan-chu"
"288";2;2;2;2;2;2;2;4;2;2;3;3;3;0;0;0;1;1;2;0;2;4;0;43;0;0;0;0;5,32300997913841;3,85014760171006;8,81120518756289;"urus-martan";"martan-chu"
"289";2;2;2;3;3;3;3;2;2;1;1;2;2;0;0;0;1;1;2;1;3;5;1;44;0;0;0;0;5,32300997913841;3,85014760171006;8,81120518756289;"urus-martan";"martan-chu"
"290";2;2;2;2;2;2;2;1;2;2;2;2;2;0;0;0;1;0;2;1;3;3;0;47;0;0;0;0;5,32300997913841;3,85014760171006;8,81120518756289;"urus-martan";"martan-chu"
"291";3;3;3;3;3;3;3;3;3;3;3;3;3;0;0;0;1;1;2;0;5;4;0;37;0;0;0;0;5,32300997913841;3,85014760171006;8,81120518756289;"urus-martan";"martan-chu"
"292";3;3;3;1;1;2;2;2;2;3;2;2;2;1;1;0;1;1;0;0;6;5;0;19;0;0;0;0;5,32300997913841;3,85014760171006;8,81120518756289;"urus-martan";"martan-chu"
"293";3;4;4;3;3;1;1;3;1;1;2;2;3;0;1;1;1;1;2;1;6;3;0;21;0;0;0;0;5,32300997913841;3,85014760171006;8,81120518756289;"urus-martan";"martan-chu"
"294";3;4;4;3;3;3;3;3;3;1;1;3;3;0;0;NA;1;1;2;0;6;4;1;20;0;0;0;0;5,32300997913841;3,85014760171006;8,81120518756289;"urus-martan";"martan-chu"
"295";2;4;4;5;4;2;2;2;2;1;2;3;2;0;0;0;1;1;0;1;6;5;1;27;0;0;0;0;5,32300997913841;3,85014760171006;8,81120518756289;"urus-martan";"martan-chu"
"296";1;4;4;3;3;2;2;2;2;2;2;3;2;0;0;0;1;0;0;0;3;4;0;49;0;0;0;0;5,32300997913841;3,85014760171006;8,81120518756289;"urus-martan";"martan-chu"
"297";2;4;4;2;2;3;3;2;2;2;2;3;2;0;0;0;1;0;0;0;3;4;0;52;0;0;0;0;5,32300997913841;3,85014760171006;8,81120518756289;"urus-martan";"martan-chu"
"298";2;5;4;3;3;2;2;3;2;1;2;2;2;0;0;1;1;1;2;0;6;4;1;26;0;0;0;0;5,32300997913841;3,85014760171006;8,81120518756289;"urus-martan";"martan-chu"
"299";3;5;4;4;4;2;2;1;4;4;4;4;3;0;0;0;1;1;2;0;6;4;0;26;0;0;0;0;5,32300997913841;3,85014760171006;8,81120518756289;"urus-martan";"martan-chu"
"300";1;1;1;1;1;1;1;4;1;1;1;2;1;1;0;0;1;1;2;0;3;2;1;19;1;1;1;9;4,86753445045558;0;12,5686650467329;"groznenskiy";"Grozny"
"301";2;4;4;5;4;4;5;2;2;1;4;3;2;0;0;0;1;1;NA;1;4;3;0;28;1;1;1;9;4,86753445045558;0;12,5686650467329;"groznenskiy";"Grozny"
"302";2;2;2;2;2;2;2;1;2;1;1;4;1;0;0;0;1;1;2;0;5;5;0;25;0;0;0;3;4,69134788222914;3,29583686600433;7,57507169950756;"groznenskiy";"Ilyinovskaya"
"303";2;2;2;3;3;4;5;1;4;3;3;2;2;0;0;1;1;1;NA;1;4;4;0;31;1;0;0;3;4,69134788222914;3,29583686600433;7,57507169950756;"groznenskiy";"Ilyinovskaya"
"304";3;4;4;2;2;4;4;2;2;1;4;2;2;1;1;0;1;1;NA;1;5;4;0;25;1;0;0;3;4,69134788222914;3,29583686600433;7,57507169950756;"groznenskiy";"Ilyinovskaya"
"305";1;1;1;1;1;2;2;1;1;3;1;3;1;0;0;0;1;1;0;0;4;3;1;48;0;1;1;0;4,70953020131233;2,99573227355399;10,4839698274386;"argun";"argun"
"306";1;1;1;3;3;1;1;1;3;1;1;2;1;1;0;0;1;0;2;1;5;2;1;34;0;1;1;0;4,70953020131233;2,99573227355399;10,4839698274386;"argun";"argun"
"307";3;2;2;2;2;2;2;2;3;2;2;2;2;0;0;1;1;1;1;0;5;3;0;26;0;1;1;0;4,70953020131233;2,99573227355399;10,4839698274386;"argun";"argun"
"308";2;2;2;2;2;2;2;2;2;2;2;1;2;0;0;0;1;1;1;0;5;2;1;22;0;1;1;0;4,70953020131233;2,99573227355399;10,4839698274386;"argun";"argun"
"309";2;2;2;3;3;2;2;2;3;2;3;2;2;0;1;0;1;1;2;0;4;5;0;28;0;1;1;0;4,70953020131233;2,99573227355399;10,4839698274386;"argun";"argun"
"310";2;2;2;2;2;4;4;3;3;1;1;4;2;0;0;0;1;1;2;0;6;NA;1;26;0;1;1;0;4,70953020131233;2,99573227355399;10,4839698274386;"argun";"argun"
"311";1;2;2;1;1;2;2;1;4;1;1;1;1;1;0;1;1;1;2;0;6;3;1;37;0;1;1;0;4,70953020131233;2,99573227355399;10,4839698274386;"argun";"argun"
"312";3;2;2;2;2;3;3;1;3;1;1;1;4;0;0;0;1;1;2;1;6;5;0;40;0;1;1;0;4,70953020131233;2,99573227355399;10,4839698274386;"argun";"argun"
"313";3;2;2;2;2;4;4;3;1;1;4;4;4;0;0;0;1;0;0;1;NA;4;0;NA;1;1;1;0;4,70953020131233;2,99573227355399;10,4839698274386;"argun";"argun"
"314";3;4;4;3;3;4;5;2;3;1;1;2;4;0;0;0;1;1;2;0;4;3;0;51;0;1;1;0;4,70953020131233;2,99573227355399;10,4839698274386;"argun";"argun"
"315";1;4;4;4;4;3;3;3;1;3;3;1;3;0;0;0;1;1;0;0;4;3;1;44;0;1;1;0;4,70953020131233;2,99573227355399;10,4839698274386;"argun";"argun"
"316";2;4;4;3;3;1;1;2;1;1;3;2;2;0;0;0;1;0;0;1;5;2;1;27;0;1;1;0;4,70953020131233;2,99573227355399;10,4839698274386;"argun";"argun"
"317";3;4;4;3;3;1;1;3;3;1;1;2;4;0;1;1;1;1;1;0;3;3;0;35;0;1;1;0;4,70953020131233;2,99573227355399;10,4839698274386;"argun";"argun"
"318";2;4;4;3;3;2;2;2;3;4;1;4;2;1;0;0;1;1;NA;0;6;3;1;21;0;1;1;0;4,70953020131233;2,99573227355399;10,4839698274386;"argun";"argun"
"319";1;4;4;3;3;2;2;2;3;1;2;2;2;0;1;1;1;1;2;0;3;4;1;23;0;1;1;0;4,70953020131233;2,99573227355399;10,4839698274386;"argun";"argun"
"320";1;5;4;3;3;1;1;1;1;1;2;1;1;0;0;1;1;1;2;0;6;5;1;22;0;1;1;0;4,70953020131233;2,99573227355399;10,4839698274386;"argun";"argun"
"321";3;1;1;4;4;3;3;2;1;1;1;1;3;0;1;1;1;1;2;0;5;4;1;39;0;1;1;9;4,86753445045558;0;12,5686650467329;"groznenskiy";"Grozny"
"322";2;2;2;2;2;2;2;2;2;2;2;2;2;0;0;0;1;1;2;NA;NA;4;0;22;0;1;1;0;4,70953020131233;2,99573227355399;10,4839698274386;"argun";"argun"
"323";3;3;3;1;1;1;1;2;2;1;4;3;1;0;0;1;1;1;1;1;NA;3;0;34;0;1;1;0;4,70953020131233;2,99573227355399;10,4839698274386;"argun";"argun"
