"";"X";"Q1";"Q3";"Q3_graph";"Q5";"Q5_graph";"Q8_graph";"Q8";"Q10";"Q12";"Q14";"Q16";"Q18";"Q20";"court";"imam";"elders";"killed";"wounded";"damaged";"displaced";"edu";"income";"female";"age";"unemployed";"urban_com";"com_exposure";"russ_pop";"lmaltitude";"ldistance_Grozny";"lcom_size";"rayon";"location";"V1RL";"V2RL";"V3RL";"V4RL";"V5RL";"V6RL";"V7RL";"V8RL";"V9RL";"V10RL";"V1S";"V2S";"V3S";"V4S";"V5S";"V6S";"V7S";"V8S";"V9S";"V10S";"V1A";"V2A";"V3A";"V4A";"V5A";"V6A";"V7A";"V8A";"V9A";"V10A";"indexRL";"indexS";"indexA";"age_cohorts";"edufull";"incomefull"
"1026";1026;2;2;2;2;2;2;2;2;2;2;2;2;2;0;0;0;NA;NA;2;1;NA;NA;0;21;0;1;1;0;4,70953020131233;2,99573227355399;10,4839698274386;"argun";"argun";0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;"youth";5,78965866184121;4,57568441813447
"1027";1027;4;3;3;1;1;4;4;1;3;1;3;3;2;0;0;0;NA;NA;NA;NA;0;4;0;47;0;0;1;0;4,90527477843843;3,40119738166216;9,35867416648188;"shali";"Mesker_Yurt";0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;1;1;0;0,3;0,1;0,4;"midage";0;4
"1028";1028;2;2;2;2;2;3;3;2;2;1;1;2;1;0;0;0;NA;1;2;0;4;4;0;25;0;0;0;0;5,4249500174814;3,46573590279973;9,51995515442751;"urus-martan";"gekhi";0;0;0;0;0;0;1;1;0;1;1;1;1;0;1;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0,3;0,6;0,1;"youth";4;4
"1029";1029;2;3;3;3;3;2;2;2;2;1;1;3;2;1;0;0;NA;1;1;0;3;3;0;26;0;0;0;0;5,4249500174814;3,46573590279973;9,51995515442751;"urus-martan";"gekhi";0;0;0;0;0;0;1;1;0;0;1;0;0;1;1;1;0;0;0;1;0;1;1;0;0;0;0;0;1;0;0,2;0,5;0,3;"youth";3;3
"1030";1030;2;1;1;4;4;1;1;2;1;1;4;1;1;0;0;0;NA;1;1;1;NA;3;1;20;0;1;1;9;4,86753445045558;0;12,5686650467329;"groznenskiy";"Grozny";0;1;0;1;0;1;1;0;1;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,6;0,2;0;"youth";7,19159038317619;3
"1031";1031;2;1;1;3;3;1;1;2;1;1;3;2;1;0;0;0;NA;NA;0;0;NA;3;0;25;0;1;1;9;4,86753445045558;0;12,5686650467329;"groznenskiy";"Grozny";0;1;0;1;0;1;1;0;0;1;1;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0,5;0,3;0,2;"youth";3,51601912819307;3
"1032";1032;2;1;1;2;2;2;2;2;2;2;1;2;2;1;0;1;NA;NA;0;NA;NA;NA;1;25;0;1;1;9;4,86753445045558;0;12,5686650467329;"groznenskiy";"Grozny";0;1;0;0;0;0;0;1;0;0;1;0;1;1;1;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0,2;0,8;0;"youth";5,74597678810833;1,59053840465067
"1033";1033;2;2;2;2;2;2;2;2;2;2;2;2;2;0;0;0;NA;0;0;0;NA;5;0;27;0;1;1;9;4,86753445045558;0;12,5686650467329;"groznenskiy";"Grozny";0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;"youth";5,53935727624474;5
"1034";1034;1;3;3;2;2;2;2;3;2;1;2;2;1;0;0;0;NA;NA;NA;NA;5;NA;1;28;0;0;1;4;5,6021188208797;3,98898404656427;9,29679325970638;"subzhenskiy";"Assinovskaya";1;0;0;0;0;0;1;0;0;1;0;0;1;1;0;1;0;1;1;0;0;1;0;0;1;0;0;0;0;0;0,3;0,5;0,2;"youth";5;3,81300907481659
"1035";1035;3;3;3;1;1;1;1;2;1;1;3;1;1;0;1;1;NA;1;2;0;6;5;1;50;0;0;1;4;5,6021188208797;3,98898404656427;9,29679325970638;"subzhenskiy";"Assinovskaya";0;0;1;1;0;1;1;0;1;1;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0,6;0,1;0,3;"older";6;5
"1036";1036;2;2;2;1;1;2;2;2;2;1;1;2;2;0;0;0;NA;0;NA;0;6;5;0;43;0;1;1;9;4,86753445045558;0;12,5686650467329;"groznenskiy";"Grozny";0;0;1;0;0;0;1;1;0;0;1;1;0;1;1;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0,3;0,7;0;"midage";6;5
"1037";1037;3;2;2;2;2;2;2;2;2;1;2;2;3;0;0;0;NA;NA;2;0;4;3;0;54;0;1;1;9;4,86753445045558;0;12,5686650467329;"groznenskiy";"Grozny";0;0;0;0;0;0;1;0;0;0;0;1;1;1;1;1;0;1;1;0;1;0;0;0;0;0;0;0;0;1;0,1;0,7;0,2;"older";4;3
"1038";1038;2;2;2;2;2;2;2;3;2;1;2;2;3;0;0;0;NA;1;2;0;6;3;1;35;0;1;1;9;4,86753445045558;0;12,5686650467329;"groznenskiy";"Grozny";0;0;0;0;0;0;1;0;0;0;1;1;1;1;0;1;0;1;1;0;0;0;0;0;1;0;0;0;0;1;0,1;0,7;0,2;"midage";6;3
"1039";1039;3;2;2;1;1;2;2;2;1;1;2;2;2;0;0;0;NA;NA;2;0;4;3;0;38;0;1;1;9;4,86753445045558;0;12,5686650467329;"groznenskiy";"Grozny";0;0;1;0;0;1;1;0;0;0;0;1;0;1;1;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0,3;0,6;0,1;"midage";4;3
"1040";1040;2;3;3;3;3;2;2;2;2;1;1;2;2;0;1;1;NA;NA;1;0;4;5;0;42;0;1;1;9;4,86753445045558;0;12,5686650467329;"groznenskiy";"Grozny";0;0;0;0;0;0;1;1;0;0;1;0;0;1;1;1;0;0;1;1;0;1;1;0;0;0;0;0;0;0;0,2;0,6;0,2;"midage";4;5
"1041";1041;2;3;3;2;2;2;2;2;1;1;1;1;2;0;0;0;NA;1;2;0;6;3;1;28;0;1;1;9;4,86753445045558;0;12,5686650467329;"groznenskiy";"Grozny";0;0;0;0;0;1;1;1;1;0;1;0;1;1;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0,4;0,5;0,1;"youth";6;3
"1042";1042;3;3;3;3;3;2;2;3;1;1;1;3;3;0;0;1;NA;NA;0;0;3;NA;1;29;0;1;1;9;4,86753445045558;0;12,5686650467329;"groznenskiy";"Grozny";0;0;0;0;0;1;1;1;0;0;0;0;0;1;0;0;0;0;0;0;1;1;1;0;1;0;0;0;1;1;0,3;0,1;0,6;"youth";3;6,28822706337372
"1043";1043;2;5;4;2;2;2;2;2;2;1;2;2;2;0;0;0;NA;NA;1;0;3;3;0;27;0;1;1;9;4,86753445045558;0;12,5686650467329;"groznenskiy";"Grozny";0;0;0;0;0;0;1;0;0;0;1;0;1;1;1;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0,1;0,8;0;"youth";3;3
"1044";1044;2;2;2;1;1;2;2;1;2;2;1;3;1;0;0;0;NA;NA;2;0;NA;3;0;23;0;0;0;0;5,15905529921453;3,40119738166216;9,37957668922148;"shali";"Germenchuk";0;0;1;0;1;0;0;1;0;1;1;1;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0,4;0,5;0,1;"youth";6,3767779594107;3
"1045";1045;3;5;4;3;3;1;1;2;2;1;3;1;1;0;0;0;NA;1;2;1;NA;6;1;28;0;0;0;0;5,15905529921453;3,40119738166216;9,37957668922148;"shali";"Germenchuk";0;0;0;1;0;0;1;0;1;1;0;0;0;0;1;1;0;0;0;0;1;0;1;0;0;0;0;1;0;0;0,4;0,2;0,3;"youth";2,94638610843745;6
"1046";1046;2;2;2;2;2;2;2;2;2;1;1;1;1;0;0;0;NA;0;1;1;NA;5;1;29;0;1;1;9;4,86753445045558;0;12,5686650467329;"groznenskiy";"Grozny";0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,4;0,6;0;"youth";5,60506343745606;5
"1047";1047;3;3;3;3;3;2;2;2;2;1;3;2;1;0;0;1;NA;1;2;1;NA;2;0;58;0;0;1;4;5,6021188208797;3,98898404656427;9,29679325970638;"subzhenskiy";"Assinovskaya";0;0;0;0;0;0;1;0;0;1;0;0;0;1;1;1;0;0;1;0;1;1;1;0;0;0;0;1;0;0;0,2;0,4;0,4;"older";4,75653737630393;2
"1048";1048;3;3;3;3;3;3;3;3;3;1;1;3;3;0;0;0;NA;NA;1;0;NA;NA;0;36;0;0;1;4;5,6021188208797;3,98898404656427;9,29679325970638;"subzhenskiy";"Assinovskaya";0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;0;0;1;1;0,2;0;0,8;"midage";2,39524641779688;4,14611929539589
"1049";1049;2;1;1;4;4;4;5;2;2;2;3;2;4;0;0;0;NA;NA;NA;1;4;2;1;24;0;0;0;4;4,74493212836325;2,63905732961526;7,52023455647463;"groznenskiy";"Proletarskoye";0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;1;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0,1;0,5;0,1;"youth";4;2
"1050";1050;4;3;3;1;1;4;4;3;1;1;4;1;1;0;0;0;NA;0;0;0;6;1;0;36;0;0;0;4;4,74493212836325;2,63905732961526;7,52023455647463;"groznenskiy";"Proletarskoye";0;0;1;0;0;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0,5;0;0,2;"midage";6;1
"1051";1051;2;3;3;2;2;3;3;2;3;1;3;3;1;0;0;0;NA;1;1;0;0;4;1;40;0;1;1;0;4,70953020131233;2,99573227355399;10,4839698274386;"argun";"argun";0;0;0;0;0;0;1;0;0;1;1;0;1;0;1;0;0;0;0;0;0;1;0;1;0;1;0;1;1;0;0,2;0,3;0,5;"midage";0;4
"1052";1052;2;2;2;2;2;2;2;2;2;2;2;2;2;0;0;0;NA;0;1;1;3;4;0;22;0;0;0;0;5,53338948872752;3,93182563272433;9,91205078319662;"achkhoy-martan";"Achkhoi-Martan";0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;"youth";3;4
"1053";1053;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;NA;1;2;1;5;4;1;45;0;0;0;4;4,74493212836325;2,63905732961526;7,52023455647463;"groznenskiy";"Proletarskoye";1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;"midage";5;4
"1054";1054;2;1;1;3;3;1;1;1;1;1;1;1;1;0;0;0;NA;NA;0;1;5;3;1;27;0;0;0;4;4,74493212836325;2,63905732961526;7,52023455647463;"groznenskiy";"Proletarskoye";0;1;0;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0,8;0,1;0,1;"youth";5;3
"1055";1055;2;2;2;2;2;2;2;4;2;1;2;2;3;0;0;0;NA;1;NA;0;4;NA;1;50;0;0;0;4;4,74493212836325;2,63905732961526;7,52023455647463;"groznenskiy";"Proletarskoye";0;0;0;0;0;0;1;0;0;0;1;1;1;1;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0,1;0,7;0,1;"older";4;1,50899631731703
"1056";1056;2;3;3;2;2;2;2;3;2;1;4;2;3;0;0;0;NA;NA;0;0;4;3;1;47;0;0;0;4;4,74493212836325;2,63905732961526;7,52023455647463;"groznenskiy";"Proletarskoye";0;0;0;0;0;0;1;0;0;0;1;0;1;1;0;1;0;0;1;0;0;1;0;0;1;0;0;0;0;1;0,1;0,5;0,3;"midage";4;3
"1057";1057;3;5;4;4;4;4;4;4;3;4;1;1;4;0;0;0;NA;1;1;0;3;4;0;20;0;0;0;3;5,50125821054473;3,17805383034795;8,39321601159653;"groznenskiy";"Druzhnoye";0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0,2;0;0,2;"youth";3;4
"1058";1058;3;1;1;1;1;4;4;3;1;1;1;3;3;0;0;0;NA;NA;1;NA;4;3;1;54;0;0;0;4;4,74493212836325;2,63905732961526;7,52023455647463;"groznenskiy";"Proletarskoye";0;1;1;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;1;1;0,5;0;0,4;"older";4;3
"1059";1059;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;NA;NA;2;0;3;4;1;30;0;0;0;3;4,62497281328427;3,2188758248682;8,0727793331695;"groznenskiy";"Sadovoye";1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;"midage";3;4
"1060";1060;3;4;4;4;4;3;3;2;2;1;4;2;1;1;1;1;1;1;2;1;6;2;0;45;0;0;1;0;5,88610403145016;4,04305126783455;8,57678198282789;"achkhoy-martan";"Bamut";0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;1;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0,2;0,3;0,2;"midage";6;2
"1061";1061;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;NA;NA;NA;0;NA;1;0;33;0;0;0;0;5,08759633523238;3,71357206670431;10,1204922998909;"kurchaloi";"kurchaloi";1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;"midage";5,86113995024458;1
"1062";1062;2;2;2;2;2;2;2;2;1;1;3;2;2;0;0;0;NA;NA;NA;1;NA;3;1;33;0;0;0;0;5,08759633523238;3,71357206670431;10,1204922998909;"kurchaloi";"kurchaloi";0;0;0;0;0;1;1;0;0;0;1;1;1;1;1;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0,2;0,7;0,1;"midage";7,54913135899825;3
"1063";1063;2;2;2;2;2;2;2;2;2;2;2;2;2;0;0;0;NA;NA;NA;0;NA;3;0;21;0;0;0;0;5,08759633523238;3,71357206670431;10,1204922998909;"kurchaloi";"kurchaloi";0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;"youth";3,20926374769104;3
"1064";1064;3;3;3;4;4;3;3;3;3;3;3;3;3;0;1;0;NA;NA;NA;0;NA;4;1;22;0;0;0;0;5,08759633523238;3,71357206670431;10,1204922998909;"kurchaloi";"kurchaloi";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;1;1;1;1;1;1;0;0;0,9;"youth";4,05737500096506;4
"1065";1065;3;3;3;4;4;3;3;1;NA;NA;NA;NA;NA;0;0;0;NA;NA;NA;1;NA;2;0;23;0;0;0;0;5,08759633523238;3,71357206670431;10,1204922998909;"kurchaloi";"kurchaloi";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0,1;0;0,3;"youth";4,80283708041785;2
"1066";1066;3;3;3;3;3;3;3;3;3;3;3;3;3;0;0;0;NA;NA;NA;0;NA;2;1;30;0;0;0;0;5,08759633523238;3,71357206670431;10,1204922998909;"kurchaloi";"kurchaloi";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;0;0;1;"midage";5,54960128322108;2
"1067";1067;2;3;3;3;3;3;3;2;3;1;3;3;3;0;0;0;NA;NA;NA;1;NA;1;1;23;0;0;0;0;5,08759633523238;3,71357206670431;10,1204922998909;"kurchaloi";"kurchaloi";0;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;1;1;0;1;0;1;1;1;0,1;0,2;0,7;"youth";4,43021062049231;1
"1068";1068;1;4;4;3;3;1;1;4;1;1;4;2;1;1;0;0;NA;NA;NA;1;6;3;1;51;0;0;1;0;6,361302477573;3,98898404656427;8,54578064826815;"vedeno";"Makhkety";1;0;0;1;0;1;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0,5;0,1;0,1;"older";6;3
"1069";1069;2;5;4;5;4;4;4;2;1;1;3;3;2;0;0;0;NA;NA;NA;1;6;2;0;26;0;0;1;0;6,361302477573;3,98898404656427;8,54578064826815;"vedeno";"Makhkety";0;0;0;0;0;1;1;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0,2;0,3;0,2;"youth";6;2
"1070";1070;4;4;4;1;1;2;2;1;4;4;4;4;1;0;0;0;NA;NA;NA;0;6;5;1;47;0;0;1;0;4,89034912822175;3,55534806148941;9,89222436025742;"kurchaloi";"Tsotsi-Yurt";0;0;1;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,3;0,1;0;"midage";6;5
