"";"indexRL";"indexS";"indexA";"court";"imam";"elders";"killed";"wounded";"damaged";"displaced";"female";"age_cohorts";"incomefull";"edufull";"unemployed";"urban_com";"com_exposure";"russ_pop";"lmaltitude";"ldistance_Grozny";"lcom_size";"rayon";"location"
"902";0,4;0,1;0,5;0;0;0;0;0;NA;0;1;"older";4;4;0;1;0;9;4,00733318523247;3,68887945411394;10,8667954491733;"gudermes";"Gudermes"
"903";0,3;0,1;0;0;0;0;0;1;NA;0;1;"older";5;3;0;1;0;9;4,00733318523247;3,68887945411394;10,8667954491733;"gudermes";"Gudermes"
"904";0,5;0,3;0;0;0;0;0;0;NA;1;1;"older";4;4;0;1;0;9;4,00733318523247;3,68887945411394;10,8667954491733;"gudermes";"Gudermes"
"905";0,5;0,5;0;0;0;0;0;0;2;0;1;"midage";5;3;0;0;0;0;4,70048036579242;3,78418963391826;7,86018505747217;"gudermes";"Shuani"
"906";0,3;0,6;0;0;0;0;0;1;2;0;1;"youth";5;6;0;0;0;0;4,70048036579242;3,78418963391826;7,86018505747217;"gudermes";"Shuani"
"907";0,4;0;0;0;0;0;0;0;NA;0;1;"youth";4;6;0;0;0;0;4,70048036579242;3,78418963391826;7,86018505747217;"gudermes";"Shuani"
"908";0,4;0,2;0,2;0;0;0;0;0;NA;0;1;"midage";4;4;0;0;0;0;4,70048036579242;3,78418963391826;7,86018505747217;"gudermes";"Shuani"
"909";0,1;0,3;0,5;0;0;0;0;0;NA;0;1;"youth";4;6;0;1;1;9;4,86753445045558;0;12,5686650467329;"groznenskiy";"Grozny"
"910";0,2;0,4;0,1;0;0;0;0;0;NA;0;0;"midage";5;3;0;0;0;0;4,70048036579242;3,78418963391826;7,86018505747217;"gudermes";"Shuani"
"911";0,2;0,7;0;0;1;1;0;NA;NA;0;0;"midage";4;6;0;1;1;9;4,86753445045558;0;12,5686650467329;"groznenskiy";"Grozny"
"912";0;0,5;0,3;0;0;0;0;0;2;0;1;"midage";5;6;0;1;1;9;4,86753445045558;0;12,5686650467329;"groznenskiy";"Grozny"
"913";0,1;0,7;0,2;0;0;0;0;0;0;0;0;"midage";5;6;0;1;1;9;4,86753445045558;0;12,5686650467329;"groznenskiy";"Grozny"
"914";0;0,5;0,2;0;0;0;0;1;1;0;0;"youth";4;6;0;1;1;9;4,86753445045558;0;12,5686650467329;"groznenskiy";"Grozny"
"915";0,1;0,8;0,1;0;0;0;0;1;0;0;0;"youth";5;6,7032637879795;0;0;0;0;5,15905529921453;3,40119738166216;9,37957668922148;"shali";"Germenchuk"
"916";0;0,4;0,5;0;0;0;0;0;2;0;0;"midage";1;1,96469388543787;0;0;0;0;5,15905529921453;3,40119738166216;9,37957668922148;"shali";"Germenchuk"
"917";0,1;0,6;0,2;0;0;0;0;0;2;0;0;"youth";5;2,51681813199909;0;0;0;0;5,15905529921453;3,40119738166216;9,37957668922148;"shali";"Germenchuk"
"918";0,3;0,3;0,3;0;0;0;0;1;2;0;0;"youth";3;3,6361975437854;0;0;0;0;5,15905529921453;3,40119738166216;9,37957668922148;"shali";"Germenchuk"
"919";0,4;0,4;0;0;0;0;0;0;0;1;1;"youth";2;2,81768943515666;0;0;0;0;5,15905529921453;3,40119738166216;9,37957668922148;"shali";"Germenchuk"
"920";0,9;0;0,1;1;0;0;0;0;2;0;1;"youth";5;5;0;1;1;9;4,86753445045558;0;12,5686650467329;"groznenskiy";"Grozny"
"921";0,3;0,2;0,4;1;0;0;0;0;2;0;1;"youth";2;3;0;1;1;9;4,86753445045558;0;12,5686650467329;"groznenskiy";"Grozny"
"922";0,9;0;0,1;0;0;0;0;1;2;0;1;"youth";5;4;0;1;1;9;4,86753445045558;0;12,5686650467329;"groznenskiy";"Grozny"
"923";0,1;0,7;0,2;0;0;0;0;0;2;0;1;"midage";5;3;0;1;1;9;4,86753445045558;0;12,5686650467329;"groznenskiy";"Grozny"
"924";0,1;0,8;0,1;0;0;1;0;0;2;0;0;"midage";5;3;0;1;1;9;4,86753445045558;0;12,5686650467329;"groznenskiy";"Grozny"
"925";0;1;0;0;1;1;0;1;2;0;0;"midage";5;6;0;1;1;9;4,86753445045558;0;12,5686650467329;"groznenskiy";"Grozny"
"926";0,2;0,5;0,3;0;0;0;0;0;2;0;1;"youth";5;3,33352076292169;0;1;1;9;4,86753445045558;0;12,5686650467329;"groznenskiy";"Grozny"
