"";"X";"Q1";"Q3";"Q3_graph";"Q5";"Q5_graph";"Q8_graph";"Q8";"Q10";"Q12";"Q14";"Q16";"Q18";"Q20";"court";"imam";"elders";"killed";"wounded";"damaged";"displaced";"edu";"income";"female";"age";"unemployed";"urban_com";"com_exposure";"russ_pop";"lmaltitude";"ldistance_Grozny";"lcom_size";"rayon";"location";"V1RL";"V2RL";"V3RL";"V4RL";"V5RL";"V6RL";"V7RL";"V8RL";"V9RL";"V10RL";"V1S";"V2S";"V3S";"V4S";"V5S";"V6S";"V7S";"V8S";"V9S";"V10S";"V1A";"V2A";"V3A";"V4A";"V5A";"V6A";"V7A";"V8A";"V9A";"V10A";"indexRL";"indexS";"indexA";"age_cohorts";"edufull";"incomefull"
"629";629;2;3;3;4;4;3;3;3;3;1;3;2;1;0;0;1;0;1;2;0;6;2;1;22;0;0;0;6;4,54329478227;4,40671924726425;9,34242071233339;"nadterechnyi";"Znamenskoye";0;0;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;1;0;0;1;0;1;1;1;0;1;0;0;0,2;0,2;0,5;"youth";6;2
"630";630;4;3;3;1;1;1;1;3;1;1;1;1;1;1;0;0;0;NA;NA;0;4;1;0;52;0;0;0;6;4,54329478227;4,40671924726425;9,34242071233339;"nadterechnyi";"Znamenskoye";0;0;1;1;0;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0,7;0;0,2;"older";4;1
"631";631;3;3;3;1;1;3;3;3;3;1;1;3;1;0;0;0;0;1;1;0;3;6;0;56;0;0;0;6;4,54329478227;4,40671924726425;9,34242071233339;"nadterechnyi";"Znamenskoye";0;0;1;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;1;1;0;1;1;1;0;0;1;0;0,4;0;0,6;"older";3;6
"632";632;3;3;3;1;1;4;4;2;2;1;1;2;3;1;1;0;0;0;2;1;3;1;0;49;0;0;0;6;4,54329478227;4,40671924726425;9,34242071233339;"nadterechnyi";"Znamenskoye";0;0;1;0;0;0;1;1;0;0;0;0;0;0;1;1;0;0;1;0;1;1;0;0;0;0;0;0;0;1;0,3;0,3;0,3;"midage";3;1
"633";633;3;4;4;2;2;1;1;3;3;1;1;3;1;1;1;1;0;0;0;0;6;3;0;27;0;0;0;6;4,54329478227;4,40671924726425;9,34242071233339;"nadterechnyi";"Znamenskoye";0;0;0;1;0;0;1;1;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;1;0;0,4;0,1;0,4;"youth";6;3
"634";634;1;4;4;3;3;2;2;3;3;4;3;3;1;0;0;0;0;0;1;1;1;5;1;78;0;0;0;6;4,54329478227;4,40671924726425;9,34242071233339;"nadterechnyi";"Znamenskoye";1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;1;1;0;1;1;0;0,2;0,1;0,5;"older";1;5
"635";635;2;5;4;4;4;4;4;4;4;4;4;4;4;0;0;0;0;0;1;0;5;2;1;35;0;0;0;6;4,54329478227;4,40671924726425;9,34242071233339;"nadterechnyi";"Znamenskoye";0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0;"midage";5;2
"636";636;2;5;4;3;3;1;1;4;3;1;1;3;1;0;0;0;0;0;2;0;6;1;1;41;0;0;0;6;4,54329478227;4,40671924726425;9,34242071233339;"nadterechnyi";"Znamenskoye";0;0;0;1;0;0;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0,4;0,1;0,3;"midage";6;1
"637";637;2;5;4;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;2;1;6;2;0;34;0;0;0;6;4,54329478227;4,40671924726425;9,34242071233339;"nadterechnyi";"Znamenskoye";0;0;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,8;0,1;0;"midage";6;2
"638";638;2;1;1;1;1;2;2;2;1;1;1;2;1;1;1;0;0;0;NA;1;4;4;1;32;0;1;1;9;4,86753445045558;0;12,5686650467329;"groznenskiy";"Grozny";0;1;1;0;0;1;1;1;0;1;1;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0,6;0,4;0;"midage";4;4
"639";639;2;1;1;2;2;2;2;2;2;2;2;2;2;0;0;0;0;1;2;1;6;3;0;21;0;1;1;9;4,86753445045558;0;12,5686650467329;"groznenskiy";"Grozny";0;1;0;0;0;0;0;0;0;0;1;0;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0,1;0,9;0;"youth";6;3
"640";640;1;1;1;2;2;1;1;2;1;3;2;2;1;1;1;0;0;0;1;0;6;2;1;30;0;1;1;9;4,86753445045558;0;12,5686650467329;"groznenskiy";"Grozny";1;1;0;1;0;1;0;0;0;1;0;0;1;0;1;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0,5;0,4;0,1;"midage";6;2
"641";641;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;1;NA;0;4;4;1;56;0;1;1;9;4,86753445045558;0;12,5686650467329;"groznenskiy";"Grozny";1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;"older";4;4
"642";642;2;1;1;2;2;2;2;1;2;1;2;2;2;0;0;0;0;1;0;0;3;5;1;39;0;1;1;9;4,86753445045558;0;12,5686650467329;"groznenskiy";"Grozny";0;1;0;0;1;0;1;0;0;0;1;0;1;1;0;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0,3;0,7;0;"midage";3;5
"643";643;4;1;1;3;3;1;1;1;1;1;3;1;1;0;0;0;0;0;1;0;3;5;1;45;0;1;1;9;4,86753445045558;0;12,5686650467329;"groznenskiy";"Grozny";0;1;0;1;1;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0,7;0;0,2;"midage";3;5
"644";644;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;2;0;NA;3;1;23;0;0;0;3;4,98360662170834;2,83321334405622;8,4368504387337;"groznenskiy";"ptetropavlovskaya";1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;"youth";3,84664259183195;3
"645";645;1;1;1;2;2;3;3;1;3;4;3;2;2;0;1;0;0;0;2;0;3;3;0;34;1;1;1;9;4,86753445045558;0;12,5686650467329;"groznenskiy";"Grozny";1;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;1;0;1;0;1;0;0;0,3;0,3;0,3;"midage";3;3
"646";646;2;2;2;2;2;2;2;1;1;1;1;2;2;0;1;1;0;0;0;0;NA;1;0;23;0;1;1;9;4,86753445045558;0;12,5686650467329;"groznenskiy";"Grozny";0;0;0;0;1;1;1;1;0;0;1;1;1;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0,4;0,6;0;"youth";5,79910016240178;1
"647";647;1;2;2;1;1;1;1;1;1;2;4;1;3;1;0;0;0;1;1;0;3;4;1;45;0;1;1;9;4,86753445045558;0;12,5686650467329;"groznenskiy";"Grozny";1;0;1;1;1;1;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0,6;0,2;0,1;"midage";3;4
"648";648;2;2;2;3;3;4;4;2;1;2;1;2;2;0;0;0;0;0;NA;1;1;3;1;32;0;1;1;9;4,86753445045558;0;12,5686650467329;"groznenskiy";"Grozny";0;0;0;0;0;1;0;1;0;0;1;1;0;0;1;0;1;0;1;1;0;0;1;0;0;0;0;0;0;0;0,2;0,6;0,1;"midage";1;3
"649";649;1;2;2;2;2;1;1;2;1;3;1;1;1;1;1;0;0;0;0;0;5;2;1;21;0;1;1;9;4,86753445045558;0;12,5686650467329;"groznenskiy";"Grozny";1;0;0;1;0;1;0;1;1;1;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0,6;0,3;0,1;"youth";5;2
"650";650;3;2;2;2;2;2;2;3;3;1;1;3;3;0;0;0;0;0;0;1;2;2;0;52;0;1;1;9;4,86753445045558;0;12,5686650467329;"groznenskiy";"Grozny";0;0;0;0;0;0;1;1;0;0;0;1;1;1;0;0;0;0;0;0;1;0;0;0;1;1;0;0;1;1;0,2;0,3;0,5;"older";2;2
"651";651;1;3;3;3;3;3;3;4;3;1;3;1;1;0;0;0;0;NA;NA;0;5;2;0;21;0;1;1;9;4,86753445045558;0;12,5686650467329;"groznenskiy";"Grozny";1;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;1;0;1;0;0;0,4;0;0,5;"youth";5;2
"652";652;3;3;3;3;3;3;3;2;3;3;3;3;3;0;0;0;0;0;NA;0;1;3;0;24;0;1;1;9;4,86753445045558;0;12,5686650467329;"groznenskiy";"Grozny";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;1;1;0;1;1;1;1;1;0;0,1;0,9;"youth";1;3
